status_id,text,datetime,images,links,embed_links
1842629104916640087,We are not stopping!  Together!,"Last editedOpens edit history9:13 PM · Oct 5, 2024","['https://pbs.twimg.com/media/GZJVVuLW4AAb8fW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZJVVvaWkAAnU00?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZJVVuWXEAA9OIS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZJVVuKWQAACXTy?format=jpg&name=360x360']",[],['https://x.com/Cristiano/status/1842629104916640087/media_tags']
1843699239777689864,,"8:05 PM · Oct 8, 2024",['https://pbs.twimg.com/media/GZYhv5xXwAAxjlp?format=jpg&name=small'],[],['https://x.com/Cristiano/status/1843699239777689864/media_tags']
1844477680378577411,Portugal,"11:38 PM · Oct 10, 2024","['https://pbs.twimg.com/media/GZjmqjfWYAw0rMl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZjmqjhWEAcS5es?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZjmqjiW0AA0qyM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZjmqjaWkAwTGOB?format=jpg&name=360x360']",[],['https://x.com/Cristiano/status/1844477680378577411/media_tags']
1845210351832383547,"Vitória importante na Liga das Nações. Obrigado pelo apoio de todos, vamos com tudo!","12:10 AM · Oct 13, 2024","['https://pbs.twimg.com/media/GZuAxM1WgAgcaGz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZuAxNJXoA4v3EG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZuAxNTXQAcaooJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZuAxNkWYAEosmf?format=jpg&name=360x360']",[],[]
1845510687616806979,I've always dreamed of having my own watch collection. The Jacob & Co. Flight of CR7 & the Heart of CR7 takes inspiration from some of my most iconic moments on the field. I hope you like them as much as I do.,"8:03 PM · Oct 13, 2024","['https://pbs.twimg.com/media/GZyRbHPXoAA7IhN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GZyRcRHX0AAlzhF?format=jpg&name=small', 'https://pbs.twimg.com/media/GZyRdDTXEAAxXim?format=jpg&name=small']",[],[]
