status_id,text,datetime,images,links,embed_links
1845524423123886339,"A beautiful evening in Coachella, California last night. Thank you!","8:58 PM · Oct 13, 2024",[],[],[]
1845530614726025657,"After all we have been through TOGETHER, we stand on the verge of the 4 GREATEST years in the HISTORY of our COUNTRY. With your help from now until Election Day, we will redeem America’s Promise, and we will take back the NATION that we LOVE. November 5th will be the most important day in the HISTORY of our COUNTRY! https://swampthevoteusa.com","9:22 PM · Oct 13, 2024",[],[],[]
1845614734600524103,"THANK YOU, ARIZONA!","2:56 AM · Oct 14, 2024",[],[],[]
1845622336785125394,"Thank you to the 16,000 Border Patrol Officers for your COMPLETE ENDORSEMENT and SUPPORT!","3:27 AM · Oct 14, 2024",[],[],[]
1845689815808766439,"A GREAT HONOR, THANK YOU!","7:55 AM · Oct 14, 2024",[],[],[]
