status_id,text,datetime,images,links,embed_links
1834364146055344509,"I teamed up with my Wife & my 2 boys teamed with their cousins at a Laser Gun place.
We are winning until my smallest Boy ambushes us but I have him in my scopes & I'm about to shoot him & my Wife shoots me at point blank range. She says, ""Sorry, but I can't k!ll my Son"".

Women!","1:51 AM · Sep 13, 2024",[],[],[]
1833598949439246654,"On September 11, 2009, a contestant named Mr. Aroma Ufodike from Anambra state, became the first person to win the N10 million. He is the only winner of the top prize on the Who wants to be a Millionaire show till date.

Did you see this episode? Where were you?
#igbo #IgboAmaka","11:10 PM · Sep 10, 2024",['https://pbs.twimg.com/media/GXQ-ZVPWMAEd6cA?format=jpg&name=small'],[],[]
1833472212654768251,"PN Okeke is the father of astrology in Nigeria. Man basically pioneered the space industry in the country

Are you fucking insane??","2:46 PM · Sep 10, 2024",['https://pbs.twimg.com/media/GXLnFBlXQAAKD_I?format=jpg&name=small'],[],[]
