status_id,text,datetime,images,links,embed_links
1830555032539861496,,,[],[],[]
1830366858085806392,MADRID SOCCER MOM TOUR 2024,"1:07 AM · Sep 2, 2024","['https://pbs.twimg.com/media/GWbE8__aAAAnN1u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE9AkXsAAXN8u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE8__a8AAqzRz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE9AeXEAA_dww?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbFeQeW4AAOYzZ?format=jpg&name=900x900']",[],[]
1830366584961179778,MADRID SOCCER MOM TOUR 2024,"1:06 AM · Sep 2, 2024","['https://pbs.twimg.com/media/GWbEtLcbkAAz3P2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtL-WsAAUVG5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtLda8AAeBN2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtLiboAAfC7h?format=jpg&name=360x360']",[],[]
